symbol,epoch,slug,orders_placed,orders_filled,orders_open,allocation_usdc,total_proceeds_usdc,yes_filled,no_filled,yes_unfilled,no_unfilled,pnl_if_yes_wins_usdc,pnl_if_no_wins_usdc,epoch_end_utc
eth,5m,eth-updown-5m-1775289300,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-04T08:00:00Z
eth,5m,eth-updown-5m-1775289000,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-04T07:55:00Z
eth,5m,eth-updown-5m-1775288700,9,9,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-04T07:50:00Z
eth,5m,eth-updown-5m-1775288400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T07:45:00Z
eth,5m,eth-updown-5m-1775288100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T07:40:00Z
eth,5m,eth-updown-5m-1775287800,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-04T07:35:00Z
eth,5m,eth-updown-5m-1775287500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T07:30:00Z
eth,5m,eth-updown-5m-1775287200,6,6,0,100.0,52.4,100.0,100.0,0.0,0.0,-47.6,-47.6,2026-04-04T07:25:00Z
eth,5m,eth-updown-5m-1775286900,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-04T07:20:00Z
eth,5m,eth-updown-5m-1775286600,2,2,0,100.0,54.0,100.0,100.0,0.0,0.0,-46.0,-46.0,2026-04-04T07:15:00Z
eth,5m,eth-updown-5m-1775286300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T07:10:00Z
eth,5m,eth-updown-5m-1775286000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T07:05:00Z
eth,5m,eth-updown-5m-1775285700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T07:00:00Z
eth,5m,eth-updown-5m-1775285400,7,7,0,100.0,103.2,100.0,100.0,0.0,0.0,3.2,3.2,2026-04-04T06:55:00Z
eth,5m,eth-updown-5m-1775285100,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-04T06:50:00Z
eth,5m,eth-updown-5m-1775284800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T06:45:00Z
eth,5m,eth-updown-5m-1775284500,2,2,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2026-04-04T06:40:00Z
eth,5m,eth-updown-5m-1775284200,2,2,0,100.0,102.0,100.0,100.0,0.0,0.0,2.0,2.0,2026-04-04T06:35:00Z
eth,5m,eth-updown-5m-1775283900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T06:30:00Z
eth,5m,eth-updown-5m-1775283600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T06:25:00Z
eth,5m,eth-updown-5m-1775283300,8,8,0,100.0,103.3,100.0,100.0,0.0,0.0,3.3,3.3,2026-04-04T06:20:00Z
eth,5m,eth-updown-5m-1775283000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T06:15:00Z
eth,5m,eth-updown-5m-1775282700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T06:10:00Z
eth,5m,eth-updown-5m-1775282400,9,9,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-04T06:05:00Z
eth,5m,eth-updown-5m-1775282100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T06:00:00Z
eth,5m,eth-updown-5m-1775281800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T05:55:00Z
eth,5m,eth-updown-5m-1775281500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T05:50:00Z
eth,5m,eth-updown-5m-1775281200,2,2,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2026-04-04T05:45:00Z
eth,5m,eth-updown-5m-1775280900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T05:40:00Z
eth,5m,eth-updown-5m-1775280600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T05:35:00Z
